,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
124,LIFE'S A TRIP,12,3GOZyiebYv432EnVy9XwzE,Oomps Revenge,spotify:track:3GOZyiebYv432EnVy9XwzE,0.103,0.579,0.587,0.0,0.112,-8.383,0.355,85.732,0.705,55
125,LIFE'S A TRIP,13,4CWgevZ4xGjy6o5qMPgYR0,Gore,spotify:track:4CWgevZ4xGjy6o5qMPgYR0,0.00186,0.614,0.66,0.0,0.228,-6.016,0.0397,141.961,0.146,54
126,LIFE'S A TRIP,14,1yQ2jDB77soMtb7Z5FQkRb,Underwater FlyZone,spotify:track:1yQ2jDB77soMtb7Z5FQkRb,0.927,0.458,0.104,0.0,0.108,-19.885,0.029,100.059,0.308,53
127,A Love Letter To You 2,1,3vWxQ6wOfMr8zH1u7pVFI6,Bust Down,spotify:track:3vWxQ6wOfMr8zH1u7pVFI6,0.337,0.722,0.821,2.12e-05,0.15,-4.167,0.172,73.015,0.659,62
128,A Love Letter To You 2,2,2oEO8hubdLxitXybAPQWWD,Feel Good,spotify:track:2oEO8hubdLxitXybAPQWWD,0.257,0.696,0.621,0.0,0.0936,-6.02,0.0531,119.998,0.456,50
129,A Love Letter To You 2,3,7KrkTrZfPhgXelA3NvDMkE,In Too Deep,spotify:track:7KrkTrZfPhgXelA3NvDMkE,0.0935,0.607,0.609,0.0,0.168,-5.679,0.0498,143.073,0.151,58
130,A Love Letter To You 2,4,2XFP42EK7jg4bGHYXRcxV3,Deadman's Wonderland,spotify:track:2XFP42EK7jg4bGHYXRcxV3,0.857,0.359,0.702,0.0,0.0888,-8.247,0.276,176.938,0.256,50
131,A Love Letter To You 2,5,70NxaxjB8IjX4YxXbT90iX,Woah Woah Woah,spotify:track:70NxaxjB8IjX4YxXbT90iX,0.0782,0.617,0.773,0.0,0.204,-4.793,0.0397,149.006,0.242,52
132,A Love Letter To You 2,6,7Juu32WsD2Spqg8xdPuHlK,Back of My Mind,spotify:track:7Juu32WsD2Spqg8xdPuHlK,0.127,0.756,0.649,4.48e-05,0.0687,-3.379,0.0543,142.023,0.697,49
133,A Love Letter To You 2,7,5bNrUcuk5gjy6Ko2dbfWhZ,Today,spotify:track:5bNrUcuk5gjy6Ko2dbfWhZ,0.0624,0.639,0.608,1.02e-05,0.311,-7.775,0.0379,141.927,0.182,51
134,A Love Letter To You 2,8,61ewCnrCtMcEeO0QnLfa3Y,Hellboy,spotify:track:61ewCnrCtMcEeO0QnLfa3Y,0.568,0.582,0.655,0.0,0.256,-4.355,0.184,139.186,0.467,53
135,A Love Letter To You 2,9,7fPEDLQlJgsuG7i5cxwjHT,Back Back Back,spotify:track:7fPEDLQlJgsuG7i5cxwjHT,0.0301,0.678,0.449,0.0,0.21,-8.406,0.0448,129.678,0.187,41
136,A Love Letter To You 2,10,55miO4EjexeuoCWya2zNo7,Dangerous,spotify:track:55miO4EjexeuoCWya2zNo7,0.0833,0.759,0.571,0.0,0.0952,-6.441,0.369,139.837,0.15,43
137,A Love Letter To You 2,11,1KnLtypE8i6HuWMOx7ZmOP,Overweight,spotify:track:1KnLtypE8i6HuWMOx7ZmOP,0.00206,0.442,0.698,0.0,0.135,-5.696,0.237,75.087,0.363,46
138,A Love Letter To You 2,12,3eygeZs2rr9N5QZGwByI4m,Overdose On L1fe,spotify:track:3eygeZs2rr9N5QZGwByI4m,0.274,0.675,0.628,0.0126,0.104,-5.319,0.0371,143.03,0.602,45
139,A Love Letter To You 2,13,7HlxbxRj9eF9c87cDwLJ4N,I Know How To Self Destruct,spotify:track:7HlxbxRj9eF9c87cDwLJ4N,0.219,0.59,0.407,0.0,0.686,-10.888,0.0575,148.551,0.17,43
140,A Love Letter To You 2,14,3Y9Ozy7bc3lmMCh4mjJFHw,Let Me Down,spotify:track:3Y9Ozy7bc3lmMCh4mjJFHw,0.0444,0.572,0.466,0.0,0.137,-11.352,0.0709,158.436,0.434,42
141,A Love Letter To You,1,0AICBlLzFCTpUqmAbtzB2z,Love Scars,spotify:track:0AICBlLzFCTpUqmAbtzB2z,0.000404,0.659,0.614,0.0,0.123,-7.32,0.0541,119.405,0.26,74
142,A Love Letter To You,2,5SCiKTGKH0fIgqQzpBvL69,Love Scars Pt. 2 / Rack City,spotify:track:5SCiKTGKH0fIgqQzpBvL69,0.0653,0.665,0.588,0.0,0.0868,-7.953,0.137,80.928,0.157,57
143,A Love Letter To You,3,6jT3etAOkvMUw0zsEw5QnR,Romeo & Juliet,spotify:track:6jT3etAOkvMUw0zsEw5QnR,0.664,0.609,0.37,0.086,0.328,-13.933,0.0712,119.806,0.352,67
144,A Love Letter To You,4,6ckN5YsUElYHQWwwUudJpL,Deeply Scared,spotify:track:6ckN5YsUElYHQWwwUudJpL,0.0271,0.694,0.417,0.0,0.178,-11.603,0.167,155.985,0.24,56
145,A Love Letter To You,5,4AiedQKPv4apGjCfg6SBfw,Blade Of Woe,spotify:track:4AiedQKPv4apGjCfg6SBfw,0.0892,0.618,0.717,0.0,0.104,-4.23,0.0598,143.07,0.102,51
146,A Love Letter To You,6,7022xokeCJFSeZxw2npVkn,It Takes Time,spotify:track:7022xokeCJFSeZxw2npVkn,0.371,0.845,0.304,0.0,0.112,-16.441,0.195,90.01,0.413,69
147,A Love Letter To You,7,4fC5jw1TI59GH1emfN1wtk,Poles 1469,spotify:track:4fC5jw1TI59GH1emfN1wtk,0.235,0.741,0.761,0.0,0.119,-3.871,0.0512,81.543,0.217,69
148,A Love Letter To You,8,7IZjtnaqjZSrg2Pm0OVBop,No Smoke No Smoke 1400 B.C. / Sauce,spotify:track:7IZjtnaqjZSrg2Pm0OVBop,0.0845,0.725,0.47,1.69e-06,0.143,-12.583,0.236,148.002,0.331,49
149,A Love Letter To You,9,2FbA1T7Lmj7C8BNcSABPWm,Stoves On 14th,spotify:track:2FbA1T7Lmj7C8BNcSABPWm,0.0998,0.761,0.509,0.0,0.139,-7.746,0.0724,126.968,0.548,52
150,A Love Letter To You,10,5L6Hsg46B22FVf2qN9DaF2,Limitless,spotify:track:5L6Hsg46B22FVf2qN9DaF2,0.0904,0.718,0.469,0.0,0.133,-11.092,0.179,137.875,0.585,51
151,A Love Letter To You,11,622KAhEhrYExbpi3Dw5xsR,Can You Rap Like Me?,spotify:track:622KAhEhrYExbpi3Dw5xsR,0.247,0.522,0.521,0.0,0.125,-13.096,0.868,173.739,0.683,52
152,A Love Letter To You,12,5eHYF98ATwMIAFYvZJi1Bt,Never Ever Land,spotify:track:5eHYF98ATwMIAFYvZJi1Bt,0.691,0.395,0.398,0.0365,0.281,-13.085,0.0775,94.135,0.189,55
